Date,Open,High,Low,Close,BI-7Day-RR,Data Inflasi,Kurs
2016-04-21,2145.0,2145.0,2100.0,2140.0,5.5,3.550819672131148,13182.0
2016-04-22,2140.0,2185.0,2130.0,2180.0,5.5,3.548360655737705,13169.0
2016-04-25,2170.0,2175.0,2080.0,2100.0,5.5,3.540983606557377,13235.0
2016-04-26,2090.0,2090.0,2010.0,2040.0,5.5,3.5385245901639344,13215.0
2016-04-27,2030.0,2065.0,2025.0,2040.0,5.5,3.536065573770492,13173.0
2016-04-28,2060.0,2095.0,2045.0,2075.0,5.5,3.533606557377049,13204.0
2016-04-29,2065.0,2075.0,2050.0,2070.0,5.5,3.5311475409836066,13204.0
2016-05-02,2090.0,2090.0,2035.0,2055.0,5.5,3.523770491803279,13192.0
2016-05-03,2080.0,2110.0,2060.0,2105.0,5.5,3.5213114754098362,13162.0
2016-05-04,2100.0,2105.0,2040.0,2070.0,5.5,3.5188524590163937,13246.0
2016-05-09,2070.0,2075.0,2005.0,2005.0,5.5,3.5065573770491802,13284.0
2016-05-10,2000.0,2025.0,1995.0,2010.0,5.5,3.5040983606557377,13333.0
2016-05-11,2000.0,2025.0,1995.0,2000.0,5.5,3.501639344262295,13271.0
2016-05-12,1995.0,2010.0,1970.0,1980.0,5.5,3.4991803278688525,13299.0
2016-05-13,1980.0,1990.0,1950.0,1975.0,5.5,3.49672131147541,13311.0
2016-05-16,1970.0,1990.0,1960.0,1990.0,5.5,3.489344262295082,13328.0
2016-05-17,1980.0,1990.0,1930.0,1940.0,5.5,3.4868852459016395,13278.0
2016-05-18,1920.0,1950.0,1905.0,1905.0,5.5,3.484426229508197,13319.0
2016-05-19,1915.0,1940.0,1910.0,1935.0,5.5,3.4819672131147543,13467.0
2016-05-20,1920.0,1970.0,1920.0,1960.0,5.491071428571429,3.4795081967213117,13573.0
2016-05-23,1960.0,1985.0,1960.0,1985.0,5.464285714285714,3.472131147540984,13607.0
2016-05-24,1990.0,2005.0,1965.0,1965.0,5.455357142857143,3.469672131147541,13606.0
2016-05-25,1985.0,1990.0,1975.0,1985.0,5.446428571428571,3.4672131147540983,13671.0
2016-05-26,2000.0,2060.0,1995.0,2060.0,5.4375,3.4647540983606557,13615.0
2016-05-27,2050.0,2080.0,2035.0,2080.0,5.428571428571429,3.462295081967213,13575.0
2016-05-30,2090.0,2135.0,2080.0,2125.0,5.401785714285714,3.4549180327868854,13641.0
2016-05-31,2125.0,2125.0,2065.0,2070.0,5.392857142857143,3.4524590163934428,13615.0
2016-06-01,2070.0,2100.0,2065.0,2090.0,5.383928571428571,3.45,13671.0
2016-06-02,2070.0,2080.0,2040.0,2055.0,5.375,3.442,13695.0
2016-06-03,2065.0,2090.0,2050.0,2080.0,5.366071428571429,3.434,13612.0
2016-06-06,2090.0,2120.0,2075.0,2120.0,5.339285714285714,3.41,13478.0
2016-06-07,2125.0,2135.0,2115.0,2130.0,5.330357142857143,3.402,13375.0
2016-06-08,2120.0,2130.0,2105.0,2130.0,5.321428571428571,3.394,13241.0
2016-06-09,2130.0,2130.0,2075.0,2075.0,5.3125,3.386,13231.0
2016-06-10,2070.0,2090.0,2065.0,2065.0,5.303571428571429,3.378,13309.0
2016-06-13,2065.0,2065.0,2015.0,2020.0,5.276785714285714,3.354,13341.0
2016-06-14,2010.0,2025.0,1985.0,1995.0,5.267857142857143,3.346,13273.0
2016-06-15,1980.0,2025.0,1980.0,2010.0,5.258928571428571,3.338,13398.0
2016-06-16,2035.0,2045.0,2025.0,2040.0,5.25,3.33,13327.0
2016-06-17,2050.0,2060.0,2000.0,2050.0,5.25,3.322,13358.0
2016-06-20,2080.0,2085.0,2035.0,2065.0,5.25,3.298,13260.0
2016-06-21,2060.0,2080.0,2055.0,2080.0,5.25,3.29,13286.0
2016-06-22,2080.0,2100.0,2070.0,2100.0,5.25,3.282,13298.0
2016-06-23,2100.0,2100.0,2060.0,2085.0,5.25,3.274,13265.0
2016-06-24,2060.0,2085.0,2000.0,2060.0,5.25,3.266,13296.0
2016-06-27,2010.0,2055.0,2010.0,2045.0,5.25,3.242,13495.0
2016-06-28,2030.0,2080.0,2025.0,2075.0,5.25,3.234,13256.0
2016-06-29,2085.0,2135.0,2085.0,2135.0,5.25,3.226,13166.0
2016-06-30,2160.0,2185.0,2145.0,2160.0,5.25,3.218,13180.0
2016-07-01,2180.0,2190.0,2140.0,2150.0,5.25,3.21,13172.0
2016-07-11,2190.0,2280.0,2180.0,2270.0,5.25,3.0745161290322582,13112.0
2016-07-12,2300.0,2320.0,2285.0,2300.0,5.25,3.060967741935484,13151.0
2016-07-13,2310.0,2310.0,2280.0,2310.0,5.25,3.0474193548387096,13095.0
2016-07-14,2320.0,2320.0,2265.0,2275.0,5.25,3.0338709677419353,13088.0
2016-07-15,2290.0,2305.0,2290.0,2300.0,5.25,3.0203225806451615,13086.0
2016-07-18,2260.0,2320.0,2260.0,2295.0,5.25,2.9796774193548385,13112.0
2016-07-19,2265.0,2370.0,2265.0,2360.0,5.25,2.9661290322580647,13086.0
2016-07-20,2360.0,2400.0,2360.0,2375.0,5.25,2.9525806451612904,13100.0
2016-07-21,2355.0,2375.0,2300.0,2300.0,5.25,2.939032258064516,13122.0
2016-07-22,2285.0,2295.0,2250.0,2285.0,5.25,2.9254838709677418,13102.0
2016-07-25,2270.0,2290.0,2235.0,2270.0,5.25,2.8848387096774193,13135.0
2016-07-26,2260.0,2310.0,2250.0,2310.0,5.25,2.871290322580645,13150.0
