Date,Open,High,Low,Close,PER,PBV,ROE
2003-11-10,105.0,110.0,95.0,97.5,,,
2003-11-11,97.5,100.0,95.0,100.0,,,
2003-11-12,97.5,105.0,97.5,105.0,,,
2003-11-13,105.0,105.0,102.5,105.0,,,
2003-11-14,105.0,105.0,100.0,105.0,,,
2003-11-17,102.5,102.5,100.0,100.0,,,
2003-11-18,100.0,100.0,97.5,97.5,,,
2003-11-19,97.5,100.0,97.5,100.0,,,
2003-11-20,100.0,102.5,100.0,102.5,,,
2003-11-21,102.5,105.0,102.5,105.0,,,
2003-11-24,105.0,105.0,105.0,105.0,,,
2003-11-25,105.0,105.0,105.0,105.0,,,
2003-11-26,105.0,105.0,105.0,105.0,,,
2003-11-27,105.0,105.0,105.0,105.0,,,
2003-11-28,105.0,105.0,105.0,105.0,,,
2003-12-01,105.0,107.5,105.0,107.5,,,
2003-12-02,107.5,107.5,102.5,105.0,,,
2003-12-03,105.0,105.0,102.5,102.5,,,
2003-12-04,102.5,105.0,102.5,105.0,,,
2003-12-05,105.0,105.0,102.5,102.5,,,
2003-12-08,102.5,102.5,100.0,102.5,,,
2003-12-09,102.5,102.5,100.0,102.5,,,
2003-12-10,100.0,105.0,97.5,105.0,,,
2003-12-11,102.5,105.0,102.5,105.0,,,
2003-12-12,105.0,107.5,105.0,107.5,,,
2003-12-15,105.0,110.0,105.0,110.0,,,
2003-12-16,110.0,112.5,107.5,110.0,,,
2003-12-17,110.0,115.0,107.5,115.0,,,
2003-12-18,115.0,127.5,115.0,127.5,,,
2003-12-19,127.5,132.5,120.0,125.0,,,
2003-12-22,122.5,125.0,117.5,125.0,,,
2003-12-23,125.0,127.5,122.5,125.0,,,
2003-12-24,125.0,125.0,125.0,125.0,,,
2003-12-25,125.0,125.0,125.0,125.0,,,
2003-12-26,125.0,125.0,125.0,125.0,,,
2003-12-29,125.0,125.0,120.0,125.0,,,
2003-12-30,125.0,125.0,122.5,125.0,,,
2003-12-31,125.0,125.0,125.0,125.0,,,
2004-01-01,125.0,125.0,125.0,125.0,,,
2004-01-02,125.0,127.5,122.5,127.5,,,
2004-01-05,125.0,127.5,122.5,127.5,,,
2004-01-06,127.5,130.0,125.0,127.5,,,
2004-01-07,125.0,130.0,125.0,130.0,,,
2004-01-08,130.0,140.0,130.0,140.0,,,
2004-01-09,140.0,155.0,140.0,152.5,,,
2004-01-12,150.0,150.0,145.0,150.0,,,
2004-01-13,150.0,150.0,145.0,147.5,,,
2004-01-14,145.0,155.0,142.5,155.0,,,
2004-01-15,155.0,160.0,155.0,160.0,,,
2004-01-16,160.0,167.5,160.0,165.0,,,
2004-01-19,162.5,165.0,155.0,157.5,,,
2004-01-20,157.5,160.0,155.0,157.5,,,
2004-01-21,157.5,157.5,152.5,155.0,,,
2004-01-22,155.0,155.0,155.0,155.0,,,
2004-01-23,155.0,157.5,155.0,157.5,,,
2004-01-26,155.0,157.5,155.0,155.0,,,
2004-01-27,157.5,157.5,150.0,152.5,,,
2004-01-28,152.5,157.5,150.0,150.0,,,
2004-01-29,150.0,150.0,140.0,140.0,,,
2004-01-30,142.5,150.0,140.0,142.5,,,
2004-02-02,142.5,142.5,142.5,142.5,,,
2004-02-03,140.0,140.0,135.0,137.5,,,
2004-02-04,137.5,147.5,137.5,145.0,,,
2004-02-05,142.5,147.5,142.5,147.5,,,
