Open,High,Low,PER,PBV,ROE,Close
1400.0,1450.0,1350.0,23.14,2.74,3.77,4632.8789710998535
1400.0,1450.0,1350.0,23.14,2.74,3.77,4729.578614234924
1400.0,1450.0,1350.0,23.14,2.74,3.77,4896.131348609924
1400.0,1450.0,1350.0,23.14,2.74,3.77,5077.22487449646
1400.0,1450.0,1350.0,23.14,2.74,3.77,5178.930377960205
1400.0,1450.0,1350.0,23.14,2.74,3.77,5212.155866622925
1400.0,1450.0,1350.0,23.14,2.74,3.77,5165.771245956421
1400.0,1450.0,1350.0,23.14,2.74,3.77,5130.493545532227
1400.0,1450.0,1350.0,23.14,2.74,3.77,5130.538177490234
1400.0,1450.0,1350.0,23.14,2.74,3.77,5105.520677566528
1400.0,1450.0,1350.0,23.14,2.74,3.77,5057.085132598877
1400.0,1450.0,1350.0,23.14,2.74,3.77,5071.884059906006
1400.0,1450.0,1350.0,23.14,2.74,3.77,5129.883289337158
1400.0,1450.0,1350.0,23.14,2.74,3.77,5168.949556350708
1400.0,1450.0,1350.0,23.14,2.74,3.77,5175.255537033081
1400.0,1450.0,1350.0,23.14,2.74,3.77,5149.991703033447
1400.0,1450.0,1350.0,23.14,2.74,3.77,5101.369905471802
1400.0,1450.0,1350.0,23.14,2.74,3.77,5091.8933391571045
1400.0,1450.0,1350.0,23.14,2.74,3.77,5089.4505977630615
1400.0,1450.0,1350.0,23.14,2.74,3.77,5075.833559036255
1400.0,1450.0,1350.0,23.14,2.74,3.77,5061.091709136963
1400.0,1450.0,1350.0,23.14,2.74,3.77,5040.573024749756
1400.0,1450.0,1350.0,23.14,2.74,3.77,5039.4336223602295
1400.0,1450.0,1350.0,23.14,2.74,3.77,5053.327465057373
1400.0,1450.0,1350.0,23.14,2.74,3.77,5075.04563331604
1400.0,1450.0,1350.0,23.14,2.74,3.77,5110.9288692474365
1400.0,1450.0,1350.0,23.14,2.74,3.77,5222.731494903564
1400.0,1450.0,1350.0,23.14,2.74,3.77,5391.728258132935
1400.0,1450.0,1350.0,23.14,2.74,3.77,5502.68759727478
1400.0,1450.0,1350.0,23.14,2.74,3.77,5480.553579330444
1400.0,1450.0,1350.0,23.14,2.74,3.77,5418.0920124053955
1400.0,1450.0,1350.0,23.14,2.74,3.77,5364.153861999512
1400.0,1450.0,1350.0,23.14,2.74,3.77,5358.368444442749
1400.0,1450.0,1350.0,23.14,2.74,3.77,5397.740697860718
1400.0,1450.0,1350.0,23.14,2.74,3.77,5421.75612449646
1400.0,1450.0,1350.0,23.14,2.74,3.77,5397.578048706055
1400.0,1450.0,1350.0,23.14,2.74,3.77,5357.995939254761
1400.0,1450.0,1350.0,23.14,2.74,3.77,5332.06992149353
1400.0,1450.0,1350.0,23.14,2.74,3.77,5305.370569229126
1400.0,1450.0,1350.0,23.14,2.74,3.77,5292.41828918457
1400.0,1450.0,1350.0,23.14,2.74,3.77,5294.2065715789795
1400.0,1450.0,1350.0,23.14,2.74,3.77,5321.538496017456
1400.0,1450.0,1350.0,23.14,2.74,3.77,5344.577598571777
1400.0,1450.0,1350.0,23.14,2.74,3.77,5386.019229888916
1400.0,1450.0,1350.0,23.14,2.74,3.77,5407.733964920044
1400.0,1450.0,1350.0,23.14,2.74,3.77,5376.5345096588135
1400.0,1450.0,1350.0,23.14,2.74,3.77,5347.92628288269
1400.0,1450.0,1350.0,23.14,2.74,3.77,5348.91676902771
1400.0,1450.0,1350.0,23.14,2.74,3.77,5401.135730743408
1400.0,1450.0,1350.0,23.14,2.74,3.77,5421.042013168335
1400.0,1450.0,1350.0,23.14,2.74,3.77,5428.105878829956
1400.0,1450.0,1350.0,23.14,2.74,3.77,5434.7766399383545
1400.0,1450.0,1350.0,23.14,2.74,3.77,5446.161222457886
1400.0,1450.0,1350.0,23.14,2.74,3.77,5449.226665496826
1400.0,1450.0,1350.0,23.14,2.74,3.77,5410.874509811401
1400.0,1450.0,1350.0,23.14,2.74,3.77,5417.466306686401
1400.0,1450.0,1350.0,23.14,2.74,3.77,5440.15908241272
1400.0,1450.0,1350.0,23.14,2.74,3.77,5447.8392124176025
1400.0,1450.0,1350.0,23.14,2.74,3.77,5410.344076156616
1400.0,1450.0,1350.0,23.14,2.74,3.77,5372.162294387817
1400.0,1450.0,1350.0,23.14,2.74,3.77,5365.031909942627
1400.0,1450.0,1350.0,23.14,2.74,3.77,5388.186883926392
1400.0,1450.0,1350.0,23.14,2.74,3.77,5408.411598205566
1400.0,1450.0,1350.0,23.14,2.74,3.77,5427.9303550720215
1400.0,1450.0,1350.0,23.14,2.74,3.77,5428.466367721558
1400.0,1450.0,1350.0,23.14,2.74,3.77,5396.78840637207
1400.0,1450.0,1350.0,23.14,2.74,3.77,5374.966382980347
1400.0,1450.0,1350.0,23.14,2.74,3.77,5341.466236114502
1400.0,1450.0,1350.0,23.14,2.74,3.77,5336.479043960571
1400.0,1450.0,1350.0,23.14,2.74,3.77,5336.901760101318
1400.0,1450.0,1350.0,23.14,2.74,3.77,5309.005928039551
1400.0,1450.0,1350.0,23.14,2.74,3.77,5174.4208335876465
1400.0,1450.0,1350.0,23.14,2.74,3.77,5145.280456542969
1400.0,1450.0,1350.0,23.14,2.74,3.77,5259.920215606689
1400.0,1450.0,1350.0,23.14,2.74,3.77,5338.120985031128
1400.0,1450.0,1350.0,23.14,2.74,3.77,5305.873107910156
1400.0,1450.0,1350.0,23.14,2.74,3.77,5292.843580245972
1400.0,1450.0,1350.0,23.14,2.74,3.77,5348.042154312134
1400.0,1450.0,1350.0,23.14,2.74,3.77,5392.104196548462
1400.0,1450.0,1350.0,23.14,2.74,3.77,5344.452285766602
1400.0,1450.0,1350.0,23.14,2.74,3.77,5284.242916107178
1400.0,1450.0,1350.0,23.14,2.74,3.77,5283.965253829956
1400.0,1450.0,1350.0,23.14,2.74,3.77,5267.542839050293
1400.0,1450.0,1350.0,23.14,2.74,3.77,5261.536407470703
1400.0,1450.0,1350.0,23.14,2.74,3.77,5206.276893615723
1400.0,1450.0,1350.0,23.14,2.74,3.77,5141.498327255249
1400.0,1450.0,1350.0,23.14,2.74,3.77,5112.7527713775635
1400.0,1450.0,1350.0,23.14,2.74,3.77,5117.695331573486
1400.0,1450.0,1350.0,23.14,2.74,3.77,5121.035003662109
1400.0,1450.0,1350.0,23.14,2.74,3.77,5127.325105667114
1400.0,1450.0,1350.0,23.14,2.74,3.77,5168.059062957764
1400.0,1450.0,1350.0,23.14,2.74,3.77,5216.138410568237
1400.0,1450.0,1350.0,23.14,2.74,3.77,5247.8644371032715
1400.0,1450.0,1350.0,23.14,2.74,3.77,5248.473405838013
1400.0,1450.0,1350.0,23.14,2.74,3.77,5252.2825717926025
1400.0,1450.0,1350.0,23.14,2.74,3.77,5242.315912246704
1400.0,1450.0,1350.0,23.14,2.74,3.77,5234.389448165894
1400.0,1450.0,1350.0,23.14,2.74,3.77,5232.116651535034
1400.0,1450.0,1350.0,23.14,2.74,3.77,5257.799768447876
1400.0,1450.0,1350.0,23.14,2.74,3.77,5278.564786911011
1400.0,1450.0,1350.0,23.14,2.74,3.77,5271.79274559021
1400.0,1450.0,1350.0,23.14,2.74,3.77,5259.476041793823
1400.0,1450.0,1350.0,23.14,2.74,3.77,5264.049959182739
1400.0,1450.0,1350.0,23.14,2.74,3.77,5249.146747589111
