OpenV,HighV,LowV,Close
9.68,10.06,9.39,4460.603276789188
9.68,10.06,9.39,4598.775472044945
9.68,10.06,9.39,4608.492510795593
9.68,10.06,9.39,4695.915858626366
9.68,10.06,9.39,4827.229907631874
9.68,10.06,9.39,4939.698158144951
9.68,10.06,9.39,5117.098845601082
9.68,10.06,9.39,5388.036873757839
9.68,10.06,9.39,5417.073529958725
9.68,10.06,9.39,5339.903324365616
9.68,10.06,9.39,5313.4392474889755
9.68,10.06,9.39,5168.648261189461
9.68,10.06,9.39,5113.916138768196
9.68,10.06,9.39,5153.5845358371735
9.68,10.06,9.39,5060.432641804218
9.68,10.06,9.39,5055.502707183361
9.68,10.06,9.39,5168.955444574356
9.68,10.06,9.39,5249.454448461533
9.68,10.06,9.39,5090.628898978233
9.68,10.06,9.39,5021.3906770944595
9.68,10.06,9.39,4993.151980280876
9.68,10.06,9.39,4964.930240511894
9.68,10.06,9.39,4902.2945048213005
9.68,10.06,9.39,4973.229409456253
9.68,10.06,9.39,5084.979594349861
9.68,10.06,9.39,5055.380094707012
9.68,10.06,9.39,4918.306520283222
9.68,10.06,9.39,4785.967548370361
9.68,10.06,9.39,4606.959202647209
9.68,10.06,9.39,4531.616444706917
9.68,10.06,9.39,4595.583634495735
9.68,10.06,9.39,4740.394186615944
9.68,10.06,9.39,4688.069964528084
9.68,10.06,9.39,4592.326251447201
9.68,10.06,9.39,4506.4534949064255
9.68,10.06,9.39,4568.279205620289
9.68,10.06,9.39,4552.716877937317
9.68,10.06,9.39,4510.694060444832
9.68,10.06,9.39,4503.289049506187
9.68,10.06,9.39,4460.122283697128
9.68,10.06,9.39,4447.641246676445
9.68,10.06,9.39,4473.8053143024445
9.68,10.06,9.39,4522.081041991711
9.68,10.06,9.39,4601.303376078606
9.68,10.06,9.39,4711.604711949825
9.68,10.06,9.39,4802.094349980354
9.68,10.06,9.39,4818.036580681801
9.68,10.06,9.39,4802.590669631958
9.68,10.06,9.39,4699.948700368404
9.68,10.06,9.39,4628.543889939785
9.68,10.06,9.39,4585.54245531559
9.68,10.06,9.39,4668.626756310463
9.68,10.06,9.39,4781.372189283371
9.68,10.06,9.39,4958.952230095863
9.68,10.06,9.39,5022.71300047636
9.68,10.06,9.39,5079.011040747166
9.68,10.06,9.39,5009.438569426537
9.68,10.06,9.39,5044.49204158783
9.68,10.06,9.39,5129.083562970161
9.68,10.06,9.39,5093.284633040428
9.68,10.06,9.39,5088.408178329468
9.68,10.06,9.39,5018.266667723656
9.68,10.06,9.39,4928.188238024712
9.68,10.06,9.39,4866.093497276306
9.68,10.06,9.39,4867.530280709267
9.68,10.06,9.39,4998.632366657257
9.68,10.06,9.39,5044.065832793713
9.68,10.06,9.39,5076.066710829735
9.68,10.06,9.39,5115.092044591904
9.68,10.06,9.39,5027.296946167946
9.68,10.06,9.39,4995.880760073662
9.68,10.06,9.39,4959.762907266617
9.68,10.06,9.39,4999.565004110336
9.68,10.06,9.39,4961.699271321297
9.68,10.06,9.39,4979.827656388283
9.68,10.06,9.39,4935.151713609695
9.68,10.06,9.39,5032.867987513542
9.68,10.06,9.39,5205.927019357681
9.68,10.06,9.39,5375.809214115143
9.68,10.06,9.39,5474.279750406742
9.68,10.06,9.39,5569.227134585381
9.68,10.06,9.39,5775.967422366142
9.68,10.06,9.39,6016.9452875852585
9.68,10.06,9.39,6151.749879002571
9.68,10.06,9.39,6507.357365727425
9.68,10.06,9.39,6681.82318007946
9.68,10.06,9.39,6722.544870495796
9.68,10.06,9.39,6310.3099855184555
9.68,10.06,9.39,6236.783587932587
9.68,10.06,9.39,6135.268283843994
9.68,10.06,9.39,6197.874344706535
9.68,10.06,9.39,6340.970930933952
9.68,10.06,9.39,6671.960702061653
9.68,10.06,9.39,6818.910450577736
9.68,10.06,9.39,7042.53734600544
9.68,10.06,9.39,7105.321455836296
9.68,10.06,9.39,7190.053198933601
9.68,10.06,9.39,7158.98528444767
9.68,10.06,9.39,6944.048222184181
9.68,10.06,9.39,6813.5063709020615
9.68,10.06,9.39,6694.083123326302
9.68,10.06,9.39,6702.437728762627
9.68,10.06,9.39,6761.986956238747
9.68,10.06,9.39,6839.1115082502365
9.68,10.06,9.39,6928.05512034893
9.68,10.06,9.39,6839.533477783203
9.68,10.06,9.39,6549.59671163559
9.68,10.06,9.39,6428.893207192421
9.68,10.06,9.39,6382.561995983124
9.68,10.06,9.39,6347.693094730377
9.68,10.06,9.39,6462.674248814583
9.68,10.06,9.39,6436.115603804588
9.68,10.06,9.39,6548.708423376083
9.68,10.06,9.39,6660.778835535049
9.68,10.06,9.39,6744.382935166359
9.68,10.06,9.39,6682.488417983055
9.68,10.06,9.39,6676.4132306575775
9.68,10.06,9.39,6697.516924858093
9.68,10.06,9.39,6761.272151589394
9.68,10.06,9.39,6731.256878256798
9.68,10.06,9.39,6530.843524694443
9.68,10.06,9.39,6366.259101986885
9.68,10.06,9.39,6453.005472421646
9.68,10.06,9.39,6419.290302395821
9.68,10.06,9.39,6517.185277462006
9.68,10.06,9.39,6504.500755906105
9.68,10.06,9.39,6506.238852977753
9.68,10.06,9.39,6529.908930659294
9.68,10.06,9.39,6568.018584012985
9.68,10.06,9.39,6551.958306193352
9.68,10.06,9.39,6429.942587375641
9.68,10.06,9.39,6337.844312787056
9.68,10.06,9.39,6454.223118662834
9.68,10.06,9.39,6680.310089945793
9.68,10.06,9.39,6823.076013803482
9.68,10.06,9.39,7057.814338803291
9.68,10.06,9.39,7017.772234559059
9.68,10.06,9.39,7001.916745662689
9.68,10.06,9.39,6865.764069199562
9.68,10.06,9.39,6779.675110340118
9.68,10.06,9.39,6863.365299582481
9.68,10.06,9.39,6986.6736669540405
