Date,Open,High,Low,Close,PER,PBV,ROE
2005-09-29,31.0,31.5,31.0,31.0,,,
2005-09-30,32.5,32.5,32.0,32.5,,,
2005-10-03,33.0,33.0,32.5,33.0,,,
2005-10-04,33.0,33.0,32.0,33.0,,,
2005-10-05,,,,,,,
2005-10-06,,,,,,,
2005-10-07,32.5,32.5,32.5,32.5,,,
2005-10-10,34.0,34.0,32.5,34.0,,,
2005-10-11,33.0,35.0,33.0,33.0,,,
2005-10-12,33.0,33.5,33.0,33.0,,,
2005-10-13,33.0,33.0,33.0,33.0,,,
2005-10-14,33.0,33.5,33.0,33.0,,,
2005-10-17,33.0,33.0,33.0,33.0,,,
2005-10-18,34.0,34.5,33.0,34.0,,,
2005-10-19,34.0,34.0,33.5,34.0,,,
2005-10-20,34.0,34.0,34.0,34.0,,,
2005-10-21,35.0,36.0,33.5,35.0,,,
2005-10-24,35.0,35.5,35.0,35.0,,,
2005-10-25,35.0,35.0,35.0,35.0,,,
2005-10-26,35.0,35.0,35.0,35.0,,,
2005-10-27,35.0,35.0,35.0,35.0,,,
2005-10-28,35.0,35.0,35.0,35.0,,,
2005-10-31,35.0,35.0,35.0,35.0,,,
2005-11-01,34.0,34.0,34.0,34.0,,,
2005-11-07,34.0,34.0,34.0,34.0,,,
2005-11-08,34.0,34.0,34.0,34.0,,,
2005-11-09,34.0,34.0,34.0,34.0,,,
2005-11-10,,,,,,,
2005-11-11,,,,,,,
2005-11-14,33.0,33.0,32.0,33.0,,,
2005-11-15,32.0,32.0,31.5,32.0,,,
2005-11-16,,,,,,,
2005-11-17,30.0,30.0,30.0,30.0,,,
2005-11-18,29.5,31.0,29.5,29.5,,,
2005-11-21,29.5,29.5,29.5,29.5,,,
2005-11-22,29.5,30.0,29.5,29.5,,,
2005-11-23,29.5,29.5,29.5,29.5,,,
2005-11-24,30.0,30.0,29.5,30.0,,,
2005-11-25,29.5,29.5,29.5,29.5,,,
2005-11-28,29.5,30.0,28.5,29.5,,,
2005-11-29,29.5,29.5,29.5,29.5,,,
2005-11-30,29.0,29.0,29.0,29.0,,,
2005-12-01,29.0,29.0,29.0,29.0,,,
2005-12-02,,,,,,,
2005-12-05,29.5,30.0,29.0,29.5,,,
2005-12-06,29.5,29.5,29.5,29.5,,,
2005-12-07,30.0,30.5,29.0,30.0,,,
2005-12-08,30.5,30.5,30.0,30.5,,,
2005-12-09,30.5,31.5,30.0,30.5,,,
2005-12-12,31.5,32.5,31.0,31.5,,,
2005-12-13,31.5,32.0,31.5,31.5,,,
2005-12-14,30.5,31.5,30.5,30.5,,,
2005-12-15,30.0,31.0,30.0,30.0,,,
2005-12-16,30.0,30.0,30.0,30.0,,,
2005-12-19,30.0,30.0,30.0,30.0,,,
2005-12-20,31.5,32.0,30.5,31.5,,,
2005-12-21,30.5,30.5,30.5,30.5,,,
2005-12-22,31.5,31.5,31.5,31.5,,,
2005-12-23,31.0,31.0,31.0,31.0,,,
2005-12-26,31.0,31.0,31.0,31.0,,,
2005-12-27,32.0,32.5,32.0,32.0,,,
2005-12-28,32.0,32.0,32.0,32.0,,,
2005-12-29,31.5,33.5,31.5,31.5,,,
2005-12-30,31.5,31.5,31.5,31.5,,,
2006-01-02,,,,,,,
2006-01-03,31.5,31.5,31.5,31.5,,,
2006-01-04,,,,,,,
2006-01-05,32.5,33.0,32.0,32.5,,,
2006-01-06,34.5,34.5,32.5,34.5,,,
2006-01-09,35.0,37.5,33.5,35.0,,,
2006-01-10,35.0,35.0,35.0,35.0,,,
2006-01-11,36.5,37.0,35.0,36.5,,,
2006-01-12,36.0,36.5,36.0,36.0,,,
2006-01-13,37.0,38.0,36.5,37.0,,,
2006-01-16,37.5,38.5,37.0,37.5,,,
2006-01-17,36.5,37.0,36.0,36.5,,,
2006-01-18,36.0,36.5,36.0,36.0,,,
2006-01-19,37.5,38.0,37.0,37.5,,,
2006-01-20,38.0,38.0,37.0,38.0,,,
2006-01-23,37.0,37.0,36.5,37.0,,,
2006-01-24,36.0,37.5,36.0,36.0,,,
2006-01-25,36.0,36.5,36.0,36.0,,,
2006-01-26,36.0,36.0,36.0,36.0,,,
2006-01-27,35.5,35.5,35.5,35.5,,,
2006-01-30,35.5,36.0,35.5,35.5,,,
2006-01-31,35.5,35.5,35.5,35.5,,,
2006-02-01,36.0,36.0,36.0,36.0,,,
2006-02-02,,,,,,,
2006-02-03,,,,,,,
2006-02-06,36.0,36.0,36.0,36.0,,,
2006-02-07,36.0,36.0,35.5,36.0,,,
2006-02-08,36.0,36.5,35.0,36.0,,,
2006-02-09,37.5,37.5,36.0,37.5,,,
2006-02-10,37.0,38.5,37.0,37.0,,,
2006-02-13,36.5,37.0,36.5,36.5,,,
2006-02-14,36.0,36.5,36.0,36.0,,,
2006-02-15,36.0,36.5,36.0,36.0,,,
2006-02-16,36.0,36.0,36.0,36.0,,,
2006-02-17,35.5,35.5,35.5,35.5,,,
2006-02-20,35.5,35.5,35.0,35.5,,,
2006-02-21,35.0,35.0,35.0,35.0,,,
2006-02-22,36.5,37.0,35.0,36.5,,,
2006-02-23,36.0,36.0,36.0,36.0,,,
2006-02-24,36.0,36.0,36.0,36.0,,,
2006-02-27,37.0,37.0,37.0,37.0,,,
2006-02-28,36.0,36.5,35.5,36.0,,,
2006-03-01,36.5,36.5,35.5,36.5,,,
2006-03-02,,,,,,,
2006-03-03,36.0,36.5,36.0,36.0,,,
2006-03-06,36.5,36.5,35.5,36.5,,,
2006-03-07,35.5,36.0,35.5,35.5,,,
2006-03-08,36.0,36.0,35.5,36.0,,,
2006-03-09,35.5,35.5,35.5,35.5,,,
2006-03-10,,,,,,,
2006-03-13,35.5,36.0,35.5,35.5,,,
2006-03-14,35.5,35.5,35.5,35.5,,,
2006-03-15,,,,,,,
2006-03-16,36.5,37.0,36.5,36.5,,,
2006-03-17,36.0,36.0,36.0,36.0,,,
2006-03-20,36.5,36.5,35.5,36.5,,,
2006-03-21,36.5,36.5,36.5,36.5,,,
2006-03-22,36.0,36.0,35.5,36.0,,,
2006-03-23,36.0,36.5,36.0,36.5,,,
2006-03-24,36.0,36.0,35.5,36.0,,,
2006-03-27,,,,,,,
2006-03-28,36.0,36.0,35.5,36.0,,,
2006-03-29,36.5,37.0,36.0,36.5,,,
2006-03-30,36.5,36.5,36.5,36.5,,,
2006-03-31,36.5,36.5,36.5,36.5,,,
2006-04-03,36.5,37.5,36.5,36.5,,,
2006-04-04,36.0,36.0,36.0,36.0,,,
2006-04-05,36.5,37.0,36.0,36.5,,,
2006-04-06,40.5,40.5,37.0,40.5,,,
2006-04-07,39.5,40.5,39.0,39.5,,,
2006-04-10,39.5,39.5,39.5,39.5,,,
2006-04-11,39.0,39.0,39.0,39.0,,,
2006-04-12,39.5,40.5,39.0,39.5,,,
2006-04-13,39.5,40.0,38.5,39.5,,,
2006-04-14,39.5,39.5,39.5,39.5,,,
2006-04-17,40.5,41.0,39.5,40.5,,,
2006-04-18,40.5,41.0,40.5,40.5,,,
2006-04-19,40.5,41.0,40.5,40.5,,,
2006-04-20,40.5,41.0,40.5,40.5,,,
2006-04-21,40.5,40.5,40.0,40.5,,,
2006-04-24,40.5,40.0,39.5,40.0,,,
2006-04-25,41.0,41.0,40.5,41.0,,,
2006-04-26,42.0,43.0,41.5,42.0,,,
2006-04-27,41.5,43.0,41.5,41.5,,,
2006-04-28,41.5,46.5,42.0,45.5,,,
2006-05-01,46.5,47.5,43.0,46.5,,,
2006-05-02,46.5,47.0,45.0,45.0,,,
2006-05-03,46.0,46.0,45.0,46.0,,,
2006-05-04,45.5,46.0,45.5,45.5,,,
2006-05-05,45.5,45.5,45.5,45.5,,,
2006-05-08,44.5,45.0,44.5,44.5,,,
2006-05-09,44.0,44.5,44.0,44.0,,,
2006-05-10,42.0,43.5,42.0,42.0,,,
2006-05-11,41.5,42.0,40.5,41.5,,,
2006-05-12,39.0,40.5,39.0,39.0,,,
2006-05-15,38.0,40.0,37.5,38.0,,,
2006-05-16,38.0,38.0,36.5,38.0,,,
2006-05-17,39.5,41.0,39.0,39.5,,,
2006-05-18,39.5,39.5,39.5,39.5,,,
2006-05-19,39.5,39.5,39.5,39.5,,,
2006-05-22,36.5,36.5,36.5,36.5,,,
2006-05-23,37.0,37.0,36.0,37.0,,,
2006-05-24,35.5,36.5,35.5,35.5,,,
2006-05-25,35.5,35.5,35.5,35.5,,,
2006-05-26,35.5,35.5,35.5,35.5,,,
2006-05-29,35.5,35.5,35.5,35.5,,,
2006-05-30,37.5,37.5,37.0,37.5,,,
2006-05-31,36.0,36.5,36.0,36.0,,,
2006-06-01,35.5,36.0,35.5,35.5,,,
2006-06-02,35.5,35.5,35.5,35.5,,,
2006-06-05,,,,,,,
2006-06-06,33.5,35.5,33.5,33.5,,,
2006-06-07,,,,,,,
2006-06-08,,,,,,,
2006-06-09,33.0,33.0,33.0,33.0,,,
2006-06-12,,,,,,,
2006-06-13,33.5,33.5,32.0,33.5,,,
2006-06-14,31.5,32.0,31.5,31.5,,,
2006-06-15,31.5,31.5,31.5,31.5,,,
2006-06-16,33.0,33.0,32.0,33.0,,,
2006-06-19,,,,,,,
2006-06-20,,,,,,,
2006-06-21,33.0,33.0,32.0,33.0,,,
2006-06-22,32.5,33.0,32.0,32.5,,,
2006-06-23,,,,,,,
2006-06-26,32.5,32.5,32.5,32.5,,,
2006-06-27,34.5,35.0,33.0,34.5,,,
2006-06-28,34.5,34.5,34.5,34.5,,,
2006-06-29,,,,,,,
2006-06-30,33.0,33.0,33.0,33.0,,,
2006-07-03,34.0,34.0,33.0,34.0,,,
2006-07-04,34.0,34.0,34.0,34.0,,,
2006-07-05,33.5,33.5,33.5,33.5,,,
2006-07-06,35.0,35.0,34.0,35.0,,,
2006-07-07,35.0,35.0,35.0,35.0,,,
2006-07-10,33.5,34.5,33.5,33.5,,,
2006-07-11,33.5,33.5,33.5,33.5,,,
2006-07-12,,,,,,,
2006-07-13,34.5,34.5,32.5,34.5,,,
2006-07-14,34.0,34.0,32.0,34.0,,,
2006-07-17,34.0,34.0,34.0,34.0,,,
2006-07-18,32.5,32.5,32.5,32.5,,,
2006-07-19,32.5,32.5,32.5,32.5,,,
2006-07-20,33.5,33.5,33.5,33.5,,,
2006-07-21,,,,,,,
2006-07-24,,,,,,,
2006-07-25,,,,,,,
2006-07-26,33.5,33.5,33.5,33.5,,,
2006-07-27,33.5,33.5,33.5,33.5,,,
2006-07-28,,,,,,,
2006-07-31,33.5,34.5,33.5,33.5,,,
2006-08-01,33.5,33.5,33.5,33.5,,,
2006-08-02,34.5,35.0,34.0,34.5,,,
2006-08-03,35.0,35.5,34.5,35.0,,,
2006-08-04,35.0,35.5,35.0,35.0,,,
2006-08-07,36.0,37.0,35.5,36.0,,,
2006-08-08,35.0,36.0,35.0,35.0,,,
2006-08-09,36.0,36.5,35.0,36.0,,,
2006-08-10,35.0,35.5,35.0,35.0,,,
2006-08-11,35.0,35.0,35.0,35.0,,,
2006-08-14,,,,,,,
2006-08-15,,,,,,,
2006-08-16,33.5,33.5,33.5,33.5,,,
2006-08-17,33.5,33.5,33.5,33.5,,,
2006-08-18,33.5,33.5,33.5,33.5,,,
2006-08-21,33.5,33.5,33.5,33.5,,,
2006-08-22,34.0,34.0,32.5,34.0,,,
2006-08-23,,,,,,,
2006-08-24,34.5,34.5,34.5,34.5,,,
2006-08-25,35.0,35.0,34.5,35.0,,,
2006-08-28,34.5,34.5,33.5,34.5,,,
2006-08-29,34.0,34.0,34.0,34.0,,,
2006-08-30,34.0,34.5,33.0,34.0,,,
2006-08-31,35.5,36.0,34.5,35.5,,,
2006-09-01,35.5,35.5,34.5,35.5,,,
2006-09-04,34.5,34.5,34.5,34.5,,,
2006-09-05,36.0,36.0,34.5,36.0,,,
2006-09-06,38.0,38.5,35.5,38.0,,,
2006-09-07,37.0,38.0,37.0,37.0,,,
2006-09-08,38.0,39.0,37.5,38.0,,,
2006-09-11,37.5,37.5,37.5,37.5,,,
2006-09-12,36.5,36.5,36.5,36.5,,,
2006-09-13,38.0,38.0,37.0,38.0,,,
2006-09-14,,,,,,,
2006-09-15,,,,,,,
2006-09-18,38.0,38.0,38.0,38.0,,,
2006-09-19,39.0,40.0,38.0,39.0,,,
2006-09-20,42.0,44.0,39.0,42.0,,,
2006-09-21,42.0,42.5,41.0,42.0,,,
2006-09-22,40.5,41.5,40.5,40.5,,,
2006-09-25,40.0,41.5,40.0,40.0,,,
2006-09-26,40.5,41.5,39.5,40.5,,,
2006-09-27,41.5,41.5,40.0,41.5,,,
2006-09-28,40.5,42.0,40.5,40.5,,,
2006-09-29,41.0,41.5,40.5,41.0,,,
2006-10-02,41.0,41.0,40.0,41.0,,,
2006-10-03,41.0,42.0,41.0,41.0,,,
2006-10-04,41.0,42.0,41.0,41.0,,,
2006-10-05,42.5,43.0,41.5,42.5,,,
2006-10-06,43.0,43.5,42.5,43.0,,,
2006-10-09,44.0,44.0,43.0,44.0,,,
2006-10-10,45.0,46.0,43.5,45.0,,,
2006-10-11,44.5,46.0,44.0,44.5,,,
2006-10-12,44.0,44.0,44.0,44.0,,,
2006-10-13,45.0,45.5,44.5,45.0,,,
2006-10-16,44.5,45.5,44.5,44.5,,,
