OpenV,HighV,LowV,Close
9.68,10.06,9.39,3056.270414590836
9.68,10.06,9.39,3099.084975123406
9.68,10.06,9.39,3097.225507497788
9.68,10.06,9.39,3099.3133723735814
9.68,10.06,9.39,3034.3620526790623
9.68,10.06,9.39,2966.806826591492
9.68,10.06,9.39,2965.873686075211
9.68,10.06,9.39,2946.0675564408307
9.68,10.06,9.39,2946.2857335805897
9.68,10.06,9.39,2975.0075024366383
9.68,10.06,9.39,2993.7360769510274
9.68,10.06,9.39,3056.2200546264653
9.68,10.06,9.39,3041.4091891050343
9.68,10.06,9.39,3066.5684348344807
9.68,10.06,9.39,3116.340372562409
9.68,10.06,9.39,3150.5718177556996
9.68,10.06,9.39,3134.2892563343053
9.68,10.06,9.39,3094.2350143194203
9.68,10.06,9.39,3040.8851492404942
9.68,10.06,9.39,3065.9344917535786
9.68,10.06,9.39,3056.762164831162
9.68,10.06,9.39,3019.5896977186208
9.68,10.06,9.39,2980.938128829003
9.68,10.06,9.39,3008.7356442213063
9.68,10.06,9.39,3044.7607928514485
9.68,10.06,9.39,3017.5717443227772
9.68,10.06,9.39,2934.3806380033498
9.68,10.06,9.39,2855.7545143365865
9.68,10.06,9.39,2831.818719506264
9.68,10.06,9.39,2912.644240558148
9.68,10.06,9.39,3002.556476593018
9.68,10.06,9.39,3101.387906670571
9.68,10.06,9.39,3171.2813162803654
9.68,10.06,9.39,3194.5242172479634
9.68,10.06,9.39,3236.9015347957616
9.68,10.06,9.39,3286.837290525437
9.68,10.06,9.39,3273.82160961628
9.68,10.06,9.39,3299.7525477409367
9.68,10.06,9.39,3286.7484200000767
9.68,10.06,9.39,3269.4491797685628
9.68,10.06,9.39,3265.8238548040395
9.68,10.06,9.39,3225.1196730136876
9.68,10.06,9.39,3177.644445896149
9.68,10.06,9.39,3093.281729817391
9.68,10.06,9.39,3157.8526836633687
9.68,10.06,9.39,3222.969006299973
9.68,10.06,9.39,3313.9893096685414
9.68,10.06,9.39,3454.598477482796
9.68,10.06,9.39,3565.449349880219
9.68,10.06,9.39,3507.215456962586
9.68,10.06,9.39,3524.071233272553
9.68,10.06,9.39,3498.225610852242
9.68,10.06,9.39,3523.0113041400914
9.68,10.06,9.39,3559.783853888512
