"No Inflasi","Periode Inflasi","Data Inflasi"
"1","Desember 2020","1.68 %"
"2","November 2020","1.59 %"
"3","Oktober 2020","1.44 %"
"4","September 2020","1.42 %"
"5","Agustus 2020","1.32 %"
"6","Juli 2020","1.54 %"
"7","Juni 2020","1.96 %"
"8","Mei 2020","2.19 %"
"9","April 2020","2.67 %"
"10","Maret 2020","2.96 %"
"11","Februari 2020","2.98 %"
"12","Januari 2020","2.68 %"
"13","Desember 2019","2.72 %"
"14","November 2019","3 %"
"15","Oktober 2019","3.13 %"
"16","September 2019","3.39 %"
"17","Agustus 2019","3.49 %"
"18","Juli 2019","3.32 %"
"19","Juni 2019","3.28 %"
"20","Mei 2019","3.32 %"
"21","April 2019","2.83 %"
"22","Maret 2019","2.48 %"
"23","Februari 2019","2.57 %"
"24","Januari 2019","2.82 %"
"25","Desember 2018","3.13 %"
"26","November 2018","3.23 %"
"27","Oktober 2018","3.16 %"
"28","September 2018","2.88 %"
"29","Agustus 2018","3.2 %"
"30","Juli 2018","3.18 %"
"31","Juni 2018","3.12 %"
"32","Mei 2018","3.23 %"
"33","April 2018","3.41 %"
"34","Maret 2018","3.4 %"
"35","Februari 2018","3.18 %"
"36","Januari 2018","3.25 %"
"37","Desember 2017","3.61 %"
"38","November 2017","3.3 %"
"39","Oktober 2017","3.58 %"
"40","September 2017","3.72 %"
"41","Agustus 2017","3.82 %"
"42","Juli 2017","3.88 %"
"43","Juni 2017","4.37 %"
"44","Mei 2017","4.33 %"
"45","April 2017","4.17 %"
"46","Maret 2017","3.61 %"
"47","Februari 2017","3.83 %"
"48","Januari 2017","3.49 %"
"49","Desember 2016","3.02 %"
"50","November 2016","3.58 %"
"51","Oktober 2016","3.31 %"
"52","September 2016","3.07 %"
"53","Agustus 2016","2.79 %"
"54","Juli 2016","3.21 %"
"55","Juni 2016","3.45 %"
"56","Mei 2016","3.33 %"
"57","April 2016","3.6 %"
"58","Maret 2016","4.45 %"
"59","Februari 2016","4.42 %"
"60","Januari 2016","4.14 %"
"61","Desember 2015","3.35 %"
"62","November 2015","4.89 %"
"63","Oktober 2015","6.25 %"
"64","September 2015","6.83 %"
"65","Agustus 2015","7.18 %"
"66","Juli 2015","7.26 %"
"67","Juni 2015","7.26 %"
"68","Mei 2015","7.15 %"
"69","April 2015","6.79 %"
"70","Maret 2015","6.38 %"
"71","Februari 2015","6.29 %"
"72","Januari 2015","6.96 %"
"73","Desember 2014","8.36 %"
"74","November 2014","6.23 %"
"75","Oktober 2014","4.83 %"
"76","September 2014","4.53 %"
"77","Agustus 2014","3.99 %"
"78","Juli 2014","4.53 %"
"79","Juni 2014","6.7 %"
"80","Mei 2014","7.32 %"
"81","April 2014","7.25 %"
"82","Maret 2014","7.32 %"
"83","Februari 2014","7.75 %"
"84","Januari 2014","8.22 %"
"85","Desember 2013","8.38 %"
"86","November 2013","8.37 %"
"87","Oktober 2013","8.32 %"
"88","September 2013","8.4 %"
"89","Agustus 2013","8.79 %"
"90","Juli 2013","8.61 %"
"91","Juni 2013","5.9 %"
"92","Mei 2013","5.47 %"
"93","April 2013","5.57 %"
"94","Maret 2013","5.9 %"
"95","Februari 2013","5.31 %"
"96","Januari 2013","4.57 %"
"97","Desember 2012","4.3 %"
"98","November 2012","4.32 %"
"99","Oktober 2012","4.61 %"
"100","September 2012","4.31 %"
"101","Agustus 2012","4.58 %"
"102","Juli 2012","4.56 %"
"103","Juni 2012","4.53 %"
"104","Mei 2012","4.45 %"
"105","April 2012","4.5 %"
"106","Maret 2012","3.97 %"
"107","Februari 2012","3.56 %"
"108","Januari 2012","3.65 %"
"109","Desember 2011","3.79 %"
"110","November 2011","4.15 %"
"111","Oktober 2011","4.42 %"
"112","September 2011","4.61 %"
"113","Agustus 2011","4.79 %"
"114","Juli 2011","4.61 %"
"115","Juni 2011","5.54 %"
"116","Mei 2011","5.98 %"
"117","April 2011","6.16 %"
"118","Maret 2011","6.65 %"
"119","Februari 2011","6.84 %"
"120","Januari 2011","7.02 %"
"121","Desember 2010","6.96 %"
"122","November 2010","6.33 %"
"123","Oktober 2010","5.67 %"
"124","September 2010","5.8 %"
"125","Agustus 2010","6.44 %"
"126","Juli 2010","6.22 %"
"127","Juni 2010","5.05 %"
"128","Mei 2010","4.16 %"
"129","April 2010","3.91 %"
"130","Maret 2010","3.43 %"
"131","Februari 2010","3.81 %"
"132","Januari 2010","3.72 %"
"133","Desember 2009","2.78 %"
"134","November 2009","2.41 %"
"135","Oktober 2009","2.57 %"
"136","September 2009","2.83 %"
"137","Agustus 2009","2.75 %"
"138","Juli 2009","2.71 %"
"139","Juni 2009","3.65 %"
"140","Mei 2009","6.04 %"
"141","April 2009","7.31 %"
"142","Maret 2009","7.92 %"
"143","Februari 2009","8.6 %"
"144","Januari 2009","9.17 %"
"145","Desember 2008","11.06 %"
"146","November 2008","11.68 %"
"147","Oktober 2008","11.77 %"
"148","September 2008","12.14 %"
"149","Agustus 2008","11.85 %"
"150","Juli 2008","11.9 %"
"151","Juni 2008","11.03 %"
"152","Mei 2008","10.38 %"
"153","April 2008","8.96 %"
"154","Maret 2008","8.17 %"
"155","Februari 2008","7.4 %"
"156","Januari 2008","7.36 %"
"157","Desember 2007","6.59 %"
"158","November 2007","6.71 %"
"159","Oktober 2007","6.88 %"
"160","September 2007","6.95 %"
"161","Agustus 2007","6.51 %"
"162","Juli 2007","6.06 %"
"163","Juni 2007","5.77 %"
"164","Mei 2007","6.01 %"
"165","April 2007","6.29 %"
"166","Maret 2007","6.52 %"
"167","Februari 2007","6.3 %"
"168","Januari 2007","6.26 %"
"169","Desember 2006","6.6 %"
"170","November 2006","5.27 %"
"171","Oktober 2006","6.29 %"
"172","September 2006","14.55 %"
"173","Agustus 2006","14.9 %"
"174","Juli 2006","15.15 %"
"175","Juni 2006","15.53 %"
"176","Mei 2006","15.6 %"
"177","April 2006","15.4 %"
"178","Maret 2006","15.74 %"
"179","Februari 2006","17.92 %"
"180","Januari 2006","17.03 %"
"181","Desember 2005","17.11 %"
"182","November 2005","18.38 %"
"183","Oktober 2005","17.89 %"
"184","September 2005","9.06 %"
"185","Agustus 2005","8.33 %"
"186","Juli 2005","7.84 %"
"187","Juni 2005","7.42 %"
"188","Mei 2005","7.4 %"
"189","April 2005","8.12 %"
"190","Maret 2005","8.81 %"
"191","Februari 2005","7.15 %"
"192","Januari 2005","7.32 %"
"193","Desember 2004","6.4 %"
"194","November 2004","6.18 %"
"195","Oktober 2004","6.22 %"
"196","September 2004","6.27 %"
"197","Agustus 2004","6.67 %"
"198","Juli 2004","7.2 %"
"199","Juni 2004","6.83 %"
"200","Mei 2004","6.47 %"
"201","April 2004","5.92 %"
"202","Maret 2004","5.11 %"
"203","Februari 2004","4.6 %"
"204","Januari 2004","4.82 %"
"205","Desember 2003","5.16 %"
"206","November 2003","5.53 %"
"207","Oktober 2003","6.48 %"
