No Kurs,Tanggal Kurs,Kurs
1,12/30/2020 12:00:00 AM,14105
2,12/29/2020 12:00:00 AM,14169
3,12/28/2020 12:00:00 AM,14184
4,12/23/2020 12:00:00 AM,14282
5,12/22/2020 12:00:00 AM,14218
6,12/21/2020 12:00:00 AM,14180
7,12/18/2020 12:00:00 AM,14146
8,12/17/2020 12:00:00 AM,14152
9,12/16/2020 12:00:00 AM,14151
10,12/15/2020 12:00:00 AM,14171
11,12/14/2020 12:00:00 AM,14158
12,12/11/2020 12:00:00 AM,14102
13,12/10/2020 12:00:00 AM,14130
14,12/8/2020 12:00:00 AM,14164
15,12/7/2020 12:00:00 AM,14135
16,12/4/2020 12:00:00 AM,14182
17,12/3/2020 12:00:00 AM,14177
18,12/2/2020 12:00:00 AM,14164
19,12/1/2020 12:00:00 AM,14178
20,11/30/2020 12:00:00 AM,14128
21,11/27/2020 12:00:00 AM,14145
22,11/26/2020 12:00:00 AM,14130
23,11/25/2020 12:00:00 AM,14169
24,11/24/2020 12:00:00 AM,14196
25,11/23/2020 12:00:00 AM,14164
26,11/20/2020 12:00:00 AM,14228
27,11/19/2020 12:00:00 AM,14167
28,11/18/2020 12:00:00 AM,14118
29,11/17/2020 12:00:00 AM,14073
30,11/16/2020 12:00:00 AM,14139
31,11/13/2020 12:00:00 AM,14222
32,11/12/2020 12:00:00 AM,14187
33,11/11/2020 12:00:00 AM,14076
34,11/10/2020 12:00:00 AM,14015
35,11/9/2020 12:00:00 AM,14172
36,11/6/2020 12:00:00 AM,14321
37,11/5/2020 12:00:00 AM,14439
38,11/4/2020 12:00:00 AM,14557
39,11/3/2020 12:00:00 AM,14609
40,11/2/2020 12:00:00 AM,14718
41,10/27/2020 12:00:00 AM,14690
42,10/26/2020 12:00:00 AM,14697
43,10/23/2020 12:00:00 AM,14738
44,10/22/2020 12:00:00 AM,14697
45,10/21/2020 12:00:00 AM,14658
46,10/20/2020 12:00:00 AM,14729
47,10/19/2020 12:00:00 AM,14741
48,10/16/2020 12:00:00 AM,14766
49,10/15/2020 12:00:00 AM,14760
50,10/14/2020 12:00:00 AM,14780
51,10/13/2020 12:00:00 AM,14793
52,10/12/2020 12:00:00 AM,14746
53,10/9/2020 12:00:00 AM,14737
54,10/8/2020 12:00:00 AM,14750
55,10/7/2020 12:00:00 AM,14784
56,10/6/2020 12:00:00 AM,14712
57,10/5/2020 12:00:00 AM,14867
58,10/2/2020 12:00:00 AM,14890
59,10/1/2020 12:00:00 AM,14876
60,9/30/2020 12:00:00 AM,14918
61,9/29/2020 12:00:00 AM,14920
62,9/28/2020 12:00:00 AM,14959
63,9/25/2020 12:00:00 AM,14951
64,9/24/2020 12:00:00 AM,14949
65,9/23/2020 12:00:00 AM,14835
66,9/22/2020 12:00:00 AM,14782
67,9/21/2020 12:00:00 AM,14723
68,9/18/2020 12:00:00 AM,14768
69,9/17/2020 12:00:00 AM,14878
70,9/16/2020 12:00:00 AM,14844
71,9/15/2020 12:00:00 AM,14870
72,9/14/2020 12:00:00 AM,14974
73,9/11/2020 12:00:00 AM,14979
74,9/10/2020 12:00:00 AM,14871
75,9/9/2020 12:00:00 AM,14853
76,9/8/2020 12:00:00 AM,14798
77,9/7/2020 12:00:00 AM,14754
78,9/4/2020 12:00:00 AM,14792
79,9/3/2020 12:00:00 AM,14818
80,9/2/2020 12:00:00 AM,14804
81,9/1/2020 12:00:00 AM,14615
82,8/31/2020 12:00:00 AM,14554
83,8/28/2020 12:00:00 AM,14702
84,8/27/2020 12:00:00 AM,14714
85,8/26/2020 12:00:00 AM,14636
86,8/25/2020 12:00:00 AM,14632
87,8/24/2020 12:00:00 AM,14794
88,8/19/2020 12:00:00 AM,14786
89,8/18/2020 12:00:00 AM,14907
90,8/14/2020 12:00:00 AM,14917
91,8/13/2020 12:00:00 AM,14877
92,8/12/2020 12:00:00 AM,14777
93,8/11/2020 12:00:00 AM,14728
94,8/10/2020 12:00:00 AM,14750
95,8/7/2020 12:00:00 AM,14647
96,8/6/2020 12:00:00 AM,14587
97,8/5/2020 12:00:00 AM,14623
98,8/4/2020 12:00:00 AM,14697
99,8/3/2020 12:00:00 AM,14713
100,7/30/2020 12:00:00 AM,14653
101,7/29/2020 12:00:00 AM,14570
102,7/28/2020 12:00:00 AM,14543
103,7/27/2020 12:00:00 AM,14605
104,7/24/2020 12:00:00 AM,14614
105,7/23/2020 12:00:00 AM,14669
106,7/22/2020 12:00:00 AM,14655
107,7/21/2020 12:00:00 AM,14813
108,7/20/2020 12:00:00 AM,14832
109,7/17/2020 12:00:00 AM,14780
110,7/16/2020 12:00:00 AM,14632
111,7/15/2020 12:00:00 AM,14616
112,7/14/2020 12:00:00 AM,14512
113,7/13/2020 12:00:00 AM,14486
114,7/10/2020 12:00:00 AM,14501
115,7/9/2020 12:00:00 AM,14446
116,7/8/2020 12:00:00 AM,14460
117,7/7/2020 12:00:00 AM,14456
118,7/6/2020 12:00:00 AM,14547
119,7/3/2020 12:00:00 AM,14566
120,7/2/2020 12:00:00 AM,14516
121,7/1/2020 12:00:00 AM,14341
122,6/30/2020 12:00:00 AM,14302
123,6/29/2020 12:00:00 AM,14369
