"Nomor","Tanggal","PER","PBV","ROE"
"1","31 Maret 2015","46.53","2.97","6.39"
"2","30 Juni 2015","21.31","2.49","11.68"
"3","1 Oktober 2015","14.96","2.56","17.09"
"4","30 Desember 2015","11.07","2.48","22.43"
"5","31 Maret 2016","40.89","2.24","5.48"
"6","30 Juni 2016","20.88","1.9","9.08"
"7","1 Oktober 2016","15.93","2.12","13.33"
"8","30 Desember 2016","11.07","1.96","17.71"
"9","31 Maret 2017","48.09","2.19","4.55"
"10","30 Juni 2017","28.82","2.54","8.82"
"11","1 Oktober 2017","18.97","2.44","12.85"
"12","30 Desember 2017","15.26","2.65","17.36"
"13","31 Maret 2018","51.83","2.39","4.62"
"14","30 Juni 2018","25.1","2.25","8.96"
"15","1 Oktober 2018","16.33","2.19","13.43"
"16","28 Desember 2018","13.79","2.41","17.5"
"17","31 Maret 2019","64.51","2.71","4.21"
"18","30 Juni 2019","32.71","2.77","8.47"
"19","1 Oktober 2019","22.55","2.8","12.43"
"20","30 Desember 2019","15.61","2.57","16.48"
"21","31 Maret 2020","35.12","1.6","4.55"
"22","30 Juni 2020","45.49","2.47","5.43"
"23","1 Oktober 2020","35.55","2.58","7.27"
"24","30 Desember 2020","27.29","2.55","9.33"
