"Nomor","Tanggal","PER","PBV","ROE"
"1","31 Maret 2015","134.79","5.08","3.77"
"2","30 Juni 2015","47.01","3.87","8.23"
"3","1 Oktober 2015","26.25","2.74","10.45"
"4","30 Desember 2015","23.40","3.41","14.59"
"5","31 Maret 2016","76.97","4.42","5.74"
"6","30 Juni 2016","35.37","4.45","12.57"
"7","1 Oktober 2016","22.93","3.93","17.14"
"8","30 Desember 2016","23.14","3.64","15.72"
"9","31 Maret 2017","83.90","3.55","4.23"
"10","30 Juni 2017","35.53","3.67","10.32"
"11","1 Oktober 2017","23.31","2.97","12.74"
"12","30 Desember 2017","21.61","3.44","15.9"
"13","31 Maret 2018","60.63","3.61","5.96"
"14","30 Juni 2018","30.49","4.31","14.12"
"15","1 Oktober 2018","25.99","4.94","19.02"
"16","28 Desember 2018","26.03","6.11","23.47"
"17","31 Maret 2019","106.49","4.28","4.02"
"18","30 Juni 2019","51.00","4.59","9.01"
"19","1 Oktober 2019","40.26","5.16","12.81"
"20","30 Desember 2019","29.35","5.06","17.24"
"21","31 Maret 2020","85.67","3.59","4.19"
"22","30 Juni 2020","61.84","4.49","7.26"
"23","1 Oktober 2020","42.10","4.35","10.34"
"24","30 Desember 2020","27.82","4.58","16.47"
